Day,Date,Number,Price,Revenue
612,2022-09-05,13.8449,47.37,655.8266
613,2022-09-06,10.0948,46.05,464.8714
614,2022-09-07,14.771,47.7,704.5092
615,2022-09-08,11.767,46.64,548.7984
616,2022-09-09,14.5369,47.61,692.1448
617,2022-09-10,15.5687,47.98,746.9226
618,2022-09-11,16.3341,48.25,788.04
619,2022-09-12,14.5208,47.61,691.2975
620,2022-09-13,13.2151,47.15,623.0645
621,2022-09-14,10.3151,46.13,475.8163
622,2022-09-15,11.8076,46.65,550.8587
623,2022-09-16,13.3171,47.18,628.3528
624,2022-09-17,15.9501,48.11,767.361
625,2022-09-18,17.3831,48.61,845.0645
626,2022-09-19,12.6642,46.95,594.6365
627,2022-09-20,9.6022,45.88,440.5242
628,2022-09-21,6.5267,44.8,292.3682
629,2022-09-22,11.5099,46.55,535.7651
630,2022-09-23,15.2122,47.85,727.9092
631,2022-09-24,12.5204,46.9,587.2524
632,2022-09-25,15.3868,47.91,737.2104
633,2022-09-26,5.574,44.46,247.8213
634,2022-09-27,11.8985,46.68,555.4818
635,2022-09-28,12.1332,46.77,567.4421
636,2022-09-29,8.9705,45.66,409.5475
637,2022-09-30,16.0642,48.15,773.4913
638,2022-10-01,14.7644,47.69,704.1576
639,2022-10-02,12.1624,46.78,568.9309
640,2022-10-03,14.6422,47.65,697.7018
641,2022-10-04,12.0407,46.74,562.7236
642,2022-10-05,8.3832,45.45,381.0062
643,2022-10-06,11.3735,46.5,528.8692
644,2022-10-07,15.2259,47.86,728.6417
645,2022-10-08,14.0482,47.44,666.4624
646,2022-10-09,16.2595,48.22,784.0126
647,2022-10-10,12.8012,47.0,601.6861
648,2022-10-11,12.2185,46.8,571.7972
649,2022-10-12,10.0967,46.05,464.9648
650,2022-10-13,14.0714,47.45,667.6778
651,2022-10-14,14.8116,47.71,706.6578
652,2022-10-15,19.1592,49.24,943.3761
653,2022-10-16,17.4751,48.65,850.099
654,2022-10-17,14.0068,47.43,664.2934
655,2022-10-18,8.9392,45.64,408.0198
656,2022-10-19,11.1202,46.41,516.1046
657,2022-10-20,10.1527,46.07,467.7453
658,2022-10-21,16.4346,48.28,793.4715
659,2022-10-22,15.7942,48.06,758.9946
660,2022-10-23,15.5685,47.98,746.913
661,2022-10-24,13.9262,47.4,660.0756
662,2022-10-25,12.5244,46.91,587.4578
663,2022-10-26,12.5846,46.93,590.5504
664,2022-10-27,13.2938,47.18,627.1423
665,2022-10-28,13.2198,47.15,623.3074
666,2022-10-29,10.9008,46.33,505.079
667,2022-10-30,15.8834,48.09,763.7769
668,2022-10-31,12.1897,46.79,570.3233
669,2022-11-01,14.6028,47.64,695.6236
670,2022-11-02,5.4004,44.4,239.7751
671,2022-11-03,13.7381,47.33,650.2496
672,2022-11-04,12.4962,46.9,586.0101
673,2022-11-05,14.6182,47.64,696.4358
674,2022-11-06,17.1139,48.52,830.3572
675,2022-11-07,13.1759,47.13,621.0386
676,2022-11-08,9.8022,45.95,450.3872
677,2022-11-09,12.7174,46.97,597.3733
678,2022-11-10,12.1903,46.79,570.3554
679,2022-11-11,12.497,46.9,586.055
680,2022-11-12,14.8023,47.71,706.1647
681,2022-11-13,16.0934,48.16,775.0642
682,2022-11-14,13.7135,47.32,648.9709
683,2022-11-15,12.6477,46.95,593.7895
684,2022-11-16,8.9235,45.64,407.2536
685,2022-11-17,13.4029,47.21,632.8068
686,2022-11-18,12.7511,46.98,599.1073
687,2022-11-19,19.24,49.27,947.9027
688,2022-11-20,16.1713,48.19,779.2573
689,2022-11-21,13.7698,47.34,651.9066
690,2022-11-22,10.5599,46.21,488.0192
691,2022-11-23,13.9978,47.42,663.824
692,2022-11-24,10.6671,46.25,493.3732
693,2022-11-25,14.875,47.73,710.0135
694,2022-11-26,16.5573,48.32,800.1072
695,2022-11-27,14.8352,47.72,707.904
696,2022-11-28,13.3546,47.2,630.2984
697,2022-11-29,11.4813,46.54,534.3214
698,2022-11-30,10.2208,46.09,471.1252
699,2022-12-01,15.0992,47.81,721.9017
700,2022-12-02,18.2873,48.93,894.8327
701,2022-12-03,16.6982,48.37,807.7459
702,2022-12-04,15.141,47.83,724.1249
703,2022-12-05,14.1132,47.46,669.8696
704,2022-12-06,9.5767,45.87,439.2689
705,2022-12-07,9.1609,45.72,418.8552
706,2022-12-08,11.6497,46.6,542.8491
707,2022-12-09,11.9629,46.71,558.7597
708,2022-12-10,15.48,47.94,742.1819
709,2022-12-11,15.3529,47.9,735.4018
710,2022-12-12,12.5756,46.92,590.0858
711,2022-12-13,12.1553,46.78,568.566
712,2022-12-14,9.5536,45.86,438.1302
713,2022-12-15,11.9421,46.7,557.7015
714,2022-12-16,15.2886,47.88,731.9766
715,2022-12-17,16.3064,48.24,786.5458
716,2022-12-18,14.55,47.62,692.8363
717,2022-12-19,13.5894,47.28,642.5022
718,2022-12-20,11.8327,46.66,552.1343
719,2022-12-21,8.7951,45.59,400.998
720,2022-12-22,8.8117,45.6,401.8093
721,2022-12-23,17.643,48.71,859.3125
722,2022-12-24,12.215,46.8,571.6185
723,2022-12-25,15.4285,47.93,739.4341
724,2022-12-26,12.8528,47.02,604.3469
725,2022-12-27,12.0511,46.74,563.2507
726,2022-12-28,15.7096,48.03,754.4628
727,2022-12-29,15.3975,47.92,737.7811
728,2022-12-30,17.9457,48.81,875.963
729,2022-12-31,20.2291,49.62,1003.667
